,BG1,BG2,VG1,VG2,VG3,3D1,3D2,IGZO,,,HBMB,HBMV1,HBMV2
kgCO2e,Baseline (6F2 BG + Planar CMOS Peri),Baseline (6F2 BG + Planar CMOS Peri + EUV),4F2 (PNC),4F2 DWB (FF Peri),4F2 Mo WL,3D DRAM (64 layers) - NO CRYO,3D DRAM (64 layers) - WITH CRYO,IGZO,,,HBM (8 6F2 die + Planar CMOS logic),HBM (8 4F2 die + 10 nm logic),HBM (12 die + 4 nm logic)
Cemb / die,0.83342,0.85278,0.83203,1.35628,1.35387,1.71100,1.39325,0.89065,,Cemb/stack,6.74,6.62,10.08
Bit density (Gb/mm2),0.32,0.43,0.80,1.54,1.54,1.92,1.92,0.62,,Die density (Gb/mm2),0.149,0.4692913386,0.4692913386
energy simulated as,1a,1b,0a,0b,0b,0c,0c,1a,,Die area (mm2),107.09,110,110
die area (mm2),100.00000,,,,,,,,,stack height,8,8,12
Cemb/Gb,0.026,0.020,0.010,0.009,0.009,0.009,0.007,0.014,,Cemb/Gb,0.053,0.016,0.016
,,,,,,,,,,,,,
,,,,,,,,,,,,,
tC 50/50 (kgCO2e),,,,,,,,,,,,,
# inferences,,,,,,,,,,,,,
1.00E+07,0.84337,0.86127,0.83750,1.36117,1.35876,1.71532,1.39757,0.90060,,,6.75,6.63,10.09
2.00E+07,0.85331,0.86977,0.84297,1.36606,1.36365,1.71964,1.40190,0.91055,,,6.77,6.64,10.10
4.00E+07,0.87321,0.88675,0.85391,1.37584,1.37343,1.72829,1.41054,0.93044,,,6.79,6.66,10.12
6.00E+07,0.89311,0.90374,0.86485,1.38562,1.38321,1.73693,1.41919,0.95034,,,6.82,6.68,10.14
8.00E+07,0.91300,0.92073,0.87579,1.39540,1.39299,1.74558,1.42783,0.97024,,,6.84,6.70,10.16
1.00E+08,0.93290,0.93772,0.88673,1.40517,1.40277,1.75422,1.43648,0.99013,,,6.87,6.72,10.18
2.00E+08,1.03239,1.02266,0.94142,1.45407,1.45167,1.79745,1.47970,1.08962,,,7.00,6.82,10.28
4.00E+08,1.23135,1.19254,1.05081,1.55186,1.54946,1.88390,1.56615,1.28858,,,7.27,7.01,10.47
6.00E+08,1.43032,1.36242,1.16020,1.64965,1.64725,1.97035,1.65260,1.48755,,,7.53,7.20,10.66
8.00E+08,1.62929,1.53231,1.26959,1.74744,1.74504,2.05680,1.73905,1.68652,,,7.80,7.40,10.86
1.00E+09,1.82825,1.70219,1.37898,1.84523,1.84283,2.14325,1.82550,1.88548,,,8.06,7.59,11.05
2.00E+09,2.82309,2.55160,1.92593,2.33419,2.33179,2.57550,2.25775,2.88032,,,9.39,8.56,12.02
4.00E+09,4.81276,4.25042,3.01983,3.31210,3.30970,3.43999,3.12224,4.86999,,,12.03,10.49,13.95
6.00E+09,6.80243,5.94924,4.11372,4.29001,4.28761,4.30449,3.98674,6.85966,,,14.68,12.43,15.88
8.00E+09,8.79210,7.64806,5.20762,5.26792,5.26552,5.16899,4.85124,8.84933,,,17.33,14.36,17.82
1.00E+10,10.78177,9.34688,6.30152,6.24584,6.24343,6.03348,5.71574,10.83900,,,19.98,16.29,19.75
2.00E+10,20.73011,17.84098,11.77100,11.13539,11.13299,10.35597,10.03822,20.78734,,,33.21,25.96,29.42
4.00E+10,40.62681,34.82918,22.70997,20.91450,20.91210,19.00094,18.68319,40.68404,,,59.69,45.30,48.75
6.00E+10,60.52350,51.81738,33.64894,30.69362,30.69121,27.64590,27.32816,60.58073,,,86.16,64.63,68.09
8.00E+10,80.42019,68.80558,44.58791,40.47273,40.47033,36.29087,35.97313,80.47742,,,112.64,83.97,87.43
1.00E+11,100.31689,85.79378,55.52688,50.25184,50.24944,44.93584,44.61809,100.37412,,,139.11,103.31,106.76
2.00E+11,199.80035,170.73479,110.22173,99.14741,99.14500,88.16068,87.84294,199.85759,,,271.49,199.99,203.44
,,,,,,,,,,,,,
,,,,,,,,,,,,,
tC/Gb/inf,,,,,,,,,,,,,
1.00E+07,2.64E-09,2.00E-09,1.05E-09,8.85E-10,8.83E-10,8.92E-10,7.27E-10,1.46E-09,,,5.29E-09,1.61E-09,1.63E-09
2.00E+07,1.33E-09,1.01E-09,5.27E-10,4.44E-10,4.43E-10,4.47E-10,3.64E-10,7.40E-10,,,2.65E-09,8.04E-10,8.15E-10
4.00E+07,6.82E-10,5.16E-10,2.67E-10,2.24E-10,2.23E-10,2.25E-10,1.83E-10,3.78E-10,,,1.33E-09,4.03E-10,4.08E-10
6.00E+07,4.65E-10,3.50E-10,1.80E-10,1.50E-10,1.50E-10,1.51E-10,1.23E-10,2.57E-10,,,8.90E-10,2.70E-10,2.73E-10
8.00E+07,3.57E-10,2.68E-10,1.37E-10,1.13E-10,1.13E-10,1.13E-10,9.28E-11,1.97E-10,,,6.70E-10,2.03E-10,2.05E-10
1.00E+08,2.92E-10,2.18E-10,1.11E-10,9.13E-11,9.12E-11,9.12E-11,7.47E-11,1.61E-10,,,5.38E-10,1.63E-10,1.64E-10
